qid,activity,exposure,dayofweek,response,endurance
62149447,2,203,1,3281355.0,3545164.0
61852258,1,634,6,312.0,164746.0
61843984,1,354,5,,51476.0
61861379,1,41,0,215370.0,215370.0
61891278,0,24,1,,5701.0
61962888,2,97,4,175643.0,735702.0
61953735,1,102,4,207872.0,207872.0
61967555,1,291,5,142857.0,142857.0
61966836,0,74,5,,0.0
62055070,0,13,3,,39170.0
62087962,2,49,4,259249.00000000003,259249.00000000003
61992291,5,424,6,29847.000000000004,727352.0
61347014,0,24,1,,0.0
62150467,3,361,1,422.0,422.0
60501356,1,206,1,626206.0,626862.0
59934826,2,200,0,7619.000000000001,7619.000000000001
59556663,1,119,2,7428.000000000001,7428.000000000001
59934944,2,180,0,1312740.0,1312740.0
59955369,2,706,1,45900.0,45973.0
59970688,1,222,2,2935755.0,3518727.0
59972437,0,18,2,,152.0
60001389,5,68,4,192.0,4440632.0
59979813,1,150,3,6039.0,6541.0
60058344,1,38,1,496398.00000000006,496398.00000000006
60004827,3,31,4,4536.0,4536.0
60047819,2,1000,0,74134.0,27092478.0
60061444,2,859,1,2439.0,1593017.0
60058544,1,93,1,1929.0000000000002,1929.0000000000002
60082691,1,94,2,,0.0
60128919,0,209,5,,11009.0
60098399,1,58,3,,0.0
60147378,1,57,0,2813421.0,2813421.0
60141622,0,39,6,,0.0
60147493,2,62,0,951.0000000000001,1305.0
60170467,3,798,1,181922.0,526671.0
60197828,4,163,2,82356.0,82356.0
60243103,1,53,5,2131.0,2131.0
60235849,1,624,5,259788.00000000003,259788.00000000003
60246737,0,174,6,,30069.000000000004
60276489,0,124,1,,0.0
60270037,1,28,0,2336933.0,2336933.0
60280214,0,478,1,,0.0
60304117,2,246,2,43708.0,9676038.0
60303888,2,490,2,95301.0,95301.0
60307161,1,53,2,83686.0,83686.0
60313723,0,22,3,,11322.0
60313031,0,186,3,,12756.0
60336064,7,331,4,765495.0,765495.0
60366429,1,62,6,65118.00000000001,65118.00000000001
60361479,1,124,6,1292284.0,1292284.0
60395464,0,29,1,,17354420.0
60391933,0,26,1,,0.0
60396152,0,24,1,,517.0
60396389,1,31,1,,0.0
60373978,1,30,0,6061.0,6061.0
60400778,7,277,1,827363.0,921847.0
60425882,4,600,3,596523.0,596523.0
60398769,1,78,1,1434.0,5328803.0
60426452,3,298,3,1143371.0,29645391.0
60435778,1,449,3,415922.0,415922.0
60429771,3,349,3,2860.0,3326.0
60441440,2,266,3,419815.0,419815.0
59569673,2,153,3,238867.00000000003,238867.00000000003
59570851,1,475,3,,78898.0
59580122,2,57,4,72347.0,72347.0
59574693,3,86,4,796560.0,796560.0
59573748,1,308,4,23198.0,23198.0
59607260,1,34,0,,634.0
59608140,2,65,0,1136.0,2251.0
59618259,2,22,0,492328.00000000006,492328.00000000006
