qid,activity,exposure,dayofweek,response,endurance
62643388,2,28,0,754.0,754.0
62626665,1,142,6,2535.0,2535.0
62574256,1,27,3,851.0,851.0
62617426,0,65,6,,0.0
62567267,1,109,3,,18450347.0
62454919,1,196,3,,42749.0
62532732,3,136,1,70929.0,962820.0000000001
62481545,2,51,5,27142.0,27142.0
62429157,9,1000,2,28527.0,150206.0
62411356,1,36,1,,1427.0
62367856,3,226,6,16867.0,17592.0
62502654,1,2000,6,5610.0,5610.0
62403308,1,47,1,793627.0,793627.0
62348625,5,347,4,639.0,679.0
62309197,1,85,2,318.0,318.0
62303271,1,28,2,23625.0,23625.0
62331297,5,340,3,893.0,1855.0000000000002
62331637,3,380,3,44807.0,237321.00000000003
62331882,4,63,3,453.0,10851.0
62331962,1,27,3,,462.00000000000006
62303003,2,670,2,2295.0,2295.0
62332984,3,971,3,2881.0,5713.0
62332204,2,92,3,23217.0,23217.0
62332548,2,63,3,510953.00000000006,511529.00000000006
62333243,4,120,3,1207920.0,9407224.0
62333739,4,462,3,1562950.0,1562950.0
62333788,4,523,3,17441.0,83625.0
62334094,7,4000,3,26906577.0,26906577.0
62333994,2,91,3,3055.0,3055.0
62334609,3,387,3,596.0,1029.0
62302840,4,971,2,10251.0,10251.0
62335056,2,72,3,,0.0
62335881,6,312,4,414515.0,640867.0
62336024,1,228,4,,0.0
62332556,2,837,3,5133.0,5133.0
62336488,2,24,4,2253.0,2253.0
62337605,3,239,4,787.0,6133.0
62339275,3,436,4,,0.0
62338593,0,26,4,,6440.0
62339616,1,675,4,323.0,323.0
62340748,0,64,4,,7209897.0
62341451,4,241,4,1023.0000000000001,3101.0
62341475,1,231,4,,2056.0
62341620,1,70,4,3157.0,3157.0
62341651,5,728,4,885.0,23618294.0
62344027,3,936,4,2656.0,2738.0
62344240,2,390,4,27127548.0,27127548.0
62345202,1,31,4,4397.0,4397.0
62340946,2,302,4,104283.0,104283.0
62345249,3,501,4,87816.0,236457.00000000003
62345485,2,39,4,25074.0,25074.0
62345589,4,58,4,1976.0000000000002,1976.0000000000002
62348109,0,50,4,,611.0
62347341,1,38,4,429714.0,429714.0
62346282,1,406,4,21485335.0,21485849.0
62304018,2,336,2,83275.0,83275.0
62305207,1,26,2,,702.0
62304471,2,62,2,87227.0,87227.0
62303788,0,38,2,,0.0
62306626,3,51,2,91191.0,128999.00000000001
62305501,2,459,2,50111.0,31559517.000000004
62305728,1,164,2,,0.0
62305356,1,15,2,412034.0,412034.0
62345219,1,69,4,52773.0,77464.0
62307330,3,275,2,540701.0,540701.0
62305746,1,1000,2,,3084.0
62310227,5,66,2,7626.000000000001,49347.0
62310982,1,147,2,24323624.0,24325554.0
62310243,1,825,2,93890.0,93890.0
62311616,3,29,2,54142.0,54142.0
62312227,7,925,2,30243.000000000004,30243.000000000004
62312381,1,162,2,,0.0
62312644,1,24,2,851.0,851.0
62311813,1,1000,2,44071.0,44071.0
62313516,5,236,2,5785.0,25408.0
62313697,1,50,2,2267.0,2267.0
62313391,2,630,2,9318.0,304665.0
62314599,5,45,2,538.0,20405.0
62315086,1,169,3,,0.0
62314036,3,38,2,20137.0,20137.0
62315995,9,2000,3,4351.0,41241432.0
62316997,3,534,3,918.0000000000001,122361.00000000001
62317268,2,19,3,490.00000000000006,41452.0
62315483,19,18000,3,11823.0,20886720.0
62308572,9,352,2,320838.0,661357.0
62317587,0,82,3,,0.0
62317657,2,395,3,10414.0,10414.0
62318255,2,284,3,677.0,3016.0
62318240,1,213,3,,6672711.0
62318321,2,167,3,2138.0,2138.0
62318777,1,107,3,2051.0,2093.0
62318804,4,50,3,722.0,1912.0000000000002
62318983,0,174,3,,88896.0
62319454,3,33,3,474.00000000000006,12136.0
62319900,4,91,3,3031034.0,3033475.0
62318574,0,247,3,,0.0
62318533,0,22,3,,235.00000000000003
62320448,2,146,3,1292.0,1292.0
62318012,2,346,3,2040.0000000000002,2552.0
62320730,6,487,3,892237.0,893100.0
62320530,5,584,3,78534.0,78534.0
62321238,3,188,3,100624.0,100624.0
62321245,2,501,3,101289.0,101289.0
62321411,1,33,3,,0.0
62321555,3,222,3,7773.000000000001,2321984.0
62321847,1,253,3,130271.00000000001,173539.0
62323103,1,36,3,,14286.0
62323813,0,220,3,,0.0
62323182,0,28,3,,8812.0
62323937,4,197,3,365.0,427.0
62351543,1,934,4,461888.0,461888.0
62352420,2,437,4,4423.0,4728.0
62353002,5,3000,4,1531.0,2301.0
62353050,2,205,4,439.0,73560.0
62353186,4,399,4,839766.0,839766.0
62350852,3,29,4,36013.0,36013.0
62353717,1,35,4,15305.000000000002,15305.000000000002
62353532,2,134,4,24621.0,333492.0
62354569,1,41,5,884.0,884.0
62354776,0,69,5,,143855.0
62355286,3,20,5,2140.0,2140.0
62355888,7,3000,5,27208.0,27769.0
62355855,2,2000,5,242515.00000000003,245623.00000000003
62355970,3,50,5,127.00000000000001,253.00000000000003
62324662,0,30,3,,1537.0
62356628,7,1000,5,118408.00000000001,627988.0
62357726,2,17,5,240236.00000000003,240236.00000000003
62357878,1,16,5,13758.0,70418.0
62357955,1,22,5,22474875.0,22474875.0
62357911,1,62,5,,0.0
62358904,2,45,5,928.0000000000001,928.0000000000001
62359693,2,27,5,3104.0,6558773.0
62360001,0,124,5,,0.0
